,movies_names,movies_director,movies_year,movies_lat,movies_long,movies_imdb,movies_genre
195,The Pick-Up Artist,James Toback,1984,40.7794,-73.9774,imdb.com/title/tt0093737,"c(Comedy, Crime, Drama, Romance)"
196,The Prisoner of Second Avenue,Melvin Frank,1975,40.7786,-73.9513,imdb.com/title/tt0072034,Comedy
197,The Producers,Mel Brooks,1968,40.77708049,-73.9539206,imdb.com/title/tt0063462,"c(Comedy, Music)"
198,The Producers,Mel Brooks,1968,40.77234375,-73.98341954,imdb.com/title/tt0063462,"c(Comedy, Music)"
199,The Producers,Susan Stroman,2005,40.77214875,-73.98319423,imdb.com/title/tt0395251,"c(Comedy, Musical)"
200,The Professional,Luc Besson,1994,40.75421427,-73.96904826,imdb.com/title/tt0110413,"c(Crime, Drama, Thriller)"
201,The Royal Tenenbaums,Wes Anderson,2001,40.824,-73.9467,imdb.com/title/tt0265666,"c(Comedy, Drama)"
202,The Seven Year Itch,Billy Wilder,1955,40.75744885,-73.97163928,imdb.com/title/tt0048605,"c(Comedy, Romance)"
203,The Siege,Edward Zwick,1998,40.73025075,-73.95436049,imdb.com/title/tt0133952,"c(Action, Thriller)"
204,The Sopranos,"David Chase,(more)",1999,40.704089,-73.993617,imdb.com/title/tt0141842,"c(Crime, Drama)"
205,The Squid and the Whale,Noah Baumbach,2005,40.78099638,-73.97245467,imdb.com/title/tt0367089,"c(Comedy, Drama)"
206,The Taking of Pelham One Two Three,Joseph Sargent,1974,40.69307721,-73.9907366,imdb.com/title/tt0072251,"c(Action, Crime, Thriller)"
207,The Warriors,Walter Hill,1979,40.57464417,-73.97885978,imdb.com/title/tt0080120,"c(Action, Crime, Thriller)"
208,The Warriors,Walter Hill,1979,40.5757606,-73.98127377,imdb.com/title/tt0080120,"c(Action, Crime, Thriller)"
209,The Wiz,Sidney Lumet,1978,40.71092245,-74.01405036,imdb.com/title/tt0078504,"c(Adventure, Family, Fantasy, Musical)"
210,The Wrong Man,Alfred Hitchcock,1956,40.76050449,-73.97546411,imdb.com/title/tt0051207,"c(Drama, Film, Noir)"
211,Three Days of the Condor,Sydney Pollack,1975,40.81431267,-73.96185994,imdb.com/title/tt0073802,"c(Mystery, Thriller)"
212,Times Square,Allan Moyle,1980,40.75668492,-73.98842454,imdb.com/title/tt0081635,"c(Drama, Music)"
213,Tootsie,Sydney Pollack,1982,40.75918798,-73.99477601,imdb.com/title/tt0084805,"c(Comedy, Drama, Romance)"
214,Two for the Seesaw,"Robert Wise
",1962,40.705693,-73.99630487,imdb.com/title/tt0056626,"c(Drama, Romance)"
215,Up the Down Staircase,Robert Mulligan,1967,40.79792464,-73.94221544,imdb.com/title/tt0062425,Drama
216,Up the Sandbox,Irvin Kershner,1972,40.77056434,-73.97752404,imdb.com/title/tt0069449,"c(Comedy, Drama)"
